Location,topBot,x,y,angle,Block
R137,2,50.1,32.75,0,
R138,2,112.55,37.95,0,
R138,2,50.05,37.95,0,
R139,2,81.6,9,270,
R139,2,19.1,9,270,
R140,2,72.5,25.5,270,
R140,2,10,25.5,270,
R141,2,73,15.75,270,
R141,2,10.5,15.75,270,
R142,2,112.6,31.95,180,
R142,2,50.1,31.95,180,
R143,2,112.55,38.75,180,
R143,2,50.05,38.75,180,
R144,2,72.5,23.8,270,
R144,2,10,23.8,270,
R148,2,73,14.05,270,
R148,2,10.5,14.05,270,
R149,2,73,17.45,270,
R149,2,10.5,17.45,270,
R150,2,80.35,111.2,90,
R150,2,17.85,111.2,90,
R151,2,72.25,50.35,90,
R151,2,9.75,50.35,90,
R153,2,109.55,130.75,0,
R153,2,47.05,130.75,0,
R158,2,102.9,58.5,90,
R158,2,40.4,58.5,90,
R159,2,99.5,58.7,270,
R159,2,37,58.7,270,
R161,2,108.9,129.5,0,
R161,2,46.4,129.5,0,
R166,2,72.7,40.6,0,
R166,2,10.2,40.6,0,
R167,2,72.7,36,0,
R167,2,10.2,36,0,
TH1,2,90.45,58.4,90,
TH1,2,27.95,58.4,90,
X1,2,87.1,16.1,180,
X1,2,24.6,16.1,180,
