Location,botottop,x,y,angle,BLOCK
ITP27,2,156.5,122.4,90
ITP28,2,97.75,67.13,0
ITP28,2,97.75,159.02,0
ITP29,2,22,46.5,0
ITP29,2,22,138.4,0
ITP30,2,37.18,66.75,90
ITP30,2,37.18,158.65,90
ITP31,2,23.63,44.4,0
ITP31,2,23.63,136.3,0
ITP32,2,26.95,43.75,0
ITP32,2,26.95,135.65,0
ITP33,2,80.25,76.75,-180
ITP33,2,80.25,168.65,-180
ITP34,2,62.63,79.5,0
ITP34,2,62.63,171.4,0
ITP35,2,79,78.75,-180
ITP35,2,79,170.65,-180
ITP36,2,78,55,-180
ITP36,2,78,146.9,-180
ITP37,2,73.38,38.38,180
ITP37,2,73.38,130.27,180
ITP38,2,77.75,35.5,180
ITP38,2,77.75,127.4,180
ITP39,2,57.38,79.25,180
ITP39,2,57.38,171.15,180
ITP40,2,57.38,70.38,180
ITP40,2,57.38,162.27,180
ITP41,2,105.13,17.13,180
ITP41,2,105.13,109.03,180
ITP42,2,79.25,63.75,0
ITP42,2,79.25,155.65,0
ITP43,2,72.88,24.33,180
ITP43,2,72.88,116.23,180
ITP44,2,64.75,13.38,-180
ITP44,2,64.75,105.28,-180
ITP45,2,110.75,66.5,0
ITP45,2,110.75,158.4,0
ITP46,2,96.63,62,0
ITP46,2,96.63,153.9,0
ITP47,2,95.38,55.63,0
ITP47,2,95.38,147.52,0
ITP48,2,75.75,20.5,0
ITP48,2,75.75,112.4,0
ITP49,2,74.75,55,-90
ITP49,2,74.75,146.9,-90
ITP50,2,106.13,23.5,0
ITP50,2,106.13,115.4,0
ITP51,2,100.63,21.38,0
ITP51,2,100.63,113.28,0
ITP52,2,99.88,15,0
ITP52,2,99.88,106.9,0
ITP53,2,79,20.5,0
ITP53,2,79,112.4,0
ITP54,2,109,24.38,90
ITP54,2,109,116.28,90
ITP55,2,101.5,58.75,0
ITP55,2,101.5,150.65,0
ITP56,2,85,20.63,0
ITP56,2,85,112.53,0
ITP57,2,90.38,18.75,0
ITP57,2,90.38,110.65,0
ITP58,2,85,23.13,0
ITP58,2,85,115.03,0
ITP59,2,99.38,71.75,-180
ITP59,2,99.38,163.65,-180
ITP60,2,50.13,62,90
ITP60,2,50.13,153.9,90
ITP61,2,125.88,53.38,90
ITP61,2,125.88,145.27,90
ITP62,2,102.25,60.63,-180
ITP62,2,102.25,152.52,-180
ITP63,2,118.5,49.25,90
ITP63,2,118.5,141.15,90
ITP64,2,110.75,64.5,0
ITP64,2,110.75,156.4,0
ITP65,2,97.88,64.1,90
ITP65,2,97.88,156,90
ITP66,2,130.38,41.75,90
ITP66,2,130.38,133.65,90
ITP67,2,66.63,66.13,-180
ITP67,2,66.63,158.02,-180
ITP68,2,68.63,70,-180
ITP68,2,68.63,161.9,-180
ITP69,2,64.5,66.13,-180
ITP69,2,64.5,158.02,-180
ITP70,2,124.63,31.25,-180
ITP70,2,124.63,123.15,-180
ITP71,2,141.88,31.25,0
ITP71,2,141.88,123.15,0
ITP72,2,133.38,31.25,90
ITP72,2,133.38,123.15,90
ITP73,2,115.13,73.75,0
ITP73,2,115.13,165.65,0
ITP74,2,151,32.38,0
ITP74,2,151,124.28,0
ITP75,2,151.38,14.63,0
ITP75,2,151.38,106.53,0
ITP76,2,144.75,20.13,180
ITP76,2,144.75,112.03,180
ITP77,2,151.13,20.13,0
ITP77,2,151.13,112.03,0
ITP78,2,144.75,22.88,0
ITP78,2,144.75,114.78,0
ITP79,2,151.13,26.25,180
ITP79,2,151.13,118.15,180
ITP80,2,144.75,32.38,0
ITP80,2,144.75,124.28,0
ITP81,2,17.25,21.13,0
ITP81,2,17.25,113.03,0
ITP82,2,25.5,24.88,0
ITP82,2,25.5,116.78,0
ITP83,2,38.58,72.75,0
ITP83,2,38.58,164.65,0
ITP84,2,17.25,28.25,0
ITP84,2,17.25,120.15,0
ITP85,2,25.5,28.25,0
ITP85,2,25.5,120.15,0
ITP88,2,72.13,21.5,0
ITP88,2,72.13,113.4,0
J7,1,19.6,36.8,-90
J7,1,19.6,128.7,-90
J341,2,150.5,50.2,-90
J341,2,150.5,142.1,-90
JP601,1,76.75,5.3,0
JP601,1,76.75,97.2,0
JP701,1,124.45,5.3,180
JP701,1,124.45,97.2,180
JP753,1,107.95,5.3,180
JP753,1,107.95,97.2,180
JP801,1,21.25,5.3,180
JP801,1,21.25,97.2,180
JPW101,1,96,33.13,180
JPW101,1,96,125.03,180
JPW102,1,91.88,36.13,180
JPW102,1,91.88,128.02,180
JPW103,1,140.38,38.5,0
JPW103,1,140.38,130.4,0
JPW104,1,91.88,39.38,180
JPW104,1,91.88,131.27,180
JPW105,1,91.88,42.38,180
JPW105,1,91.88,134.27,180
JPW106,1,130.38,47.13,90
JPW106,1,130.38,139.02,90
JPW107,1,133.38,47.13,90
JPW107,1,133.38,139.02,90
JPW108,1,101.13,44.88,180
JPW108,1,101.13,136.77,180
JPW109,1,136.5,52.63,90
JPW109,1,136.5,144.52,90
JPW110,1,112.75,60,0
JPW110,1,112.75,151.9,0
JPW111,1,98.5,50.63,-90
JPW111,1,98.5,142.52,-90
JPW112,1,51.88,49,180
JPW112,1,51.88,140.9,180
JPW113,1,84.38,52.38,90
JPW113,1,84.38,144.27,90
JPW115,1,139.63,58.38,-90
JPW115,1,139.63,150.27,-90
JPW116,1,108.88,49,180
JPW116,1,108.88,140.9,180
JPW117,1,109.25,52.38,0
JPW117,1,109.25,144.27,0
JPW118,1,123,53.5,-90
JPW118,1,123,145.4,-90
JPW119,1,88.38,58.13,-90
JPW119,1,88.38,150.02,-90
JPW120,1,34,56.88,180
JPW120,1,34,148.77,180
JPW121,1,70.63,58.38,0
JPW121,1,70.63,150.27,0
JPW122,1,78.88,59.63,0
JPW122,1,78.88,151.52,0
JPW123,1,85.38,62.13,90
JPW123,1,85.38,154.02,90
JPW124,1,38.5,59.88,180
JPW124,1,38.5,151.77,180
JPW125,1,63,61.38,0
JPW125,1,63,153.27,0
JPW126,1,126.75,62.5,0
JPW126,1,126.75,154.4,0
JPW127,1,136.5,65.88,90
JPW127,1,136.5,157.77,90
JPW128,1,91.88,64.5,0
JPW128,1,91.88,156.4,0
JPW129,1,126.75,65.5,0
JPW129,1,126.75,157.4,0
JPW130,1,120.5,71.25,-90
JPW130,1,120.5,163.15,-90
JPW131,1,89.13,71.38,0
JPW131,1,89.13,163.27,0
JPW132,1,145.25,73.75,90
JPW132,1,145.25,165.65,90
JPW133,1,107.25,73.25,-90
JPW133,1,107.25,165.15,-90
JPW134,1,79.13,72.5,180
JPW134,1,79.13,164.4,180
JPW135,1,134.75,72.88,180
JPW135,1,134.75,164.77,180
JPW136,1,89.13,74.63,0
JPW136,1,89.13,166.52,0
JPW137,1,63.5,76.13,0
JPW137,1,63.5,168.02,0
JPW138,1,69.25,79.13,-90
JPW138,1,69.25,171.02,-90
JPW139,1,145.25,79.38,180
JPW139,1,145.25,171.27,180
JPW140,1,117.88,82,0
JPW140,1,117.88,173.9,0
JPW141,1,127.32,82,180
JPW141,1,127.32,173.9,180
JPW142,1,41.38,82.63,180
JPW142,1,41.38,174.52,180
Q8,2,19.13,43.25,180
Q8,2,19.13,135.15,180
Q9,2,26.5,47,180
Q9,2,26.5,138.9,180
Q572,2,149.38,82.88,-180
Q572,2,149.38,174.77,-180
Q573,2,138,76.38,-180
Q573,2,138,168.27,-180
Q602,2,53.75,78.13,-180
Q602,2,53.75,170.02,-180
Q604,2,53.88,65.38,180
Q604,2,53.88,157.27,180
Q605,2,53.88,56.75,180
Q605,2,53.88,148.65,180
Q701,2,118.5,52.5,-180
Q701,2,118.5,144.4,-180
Q702,2,109,39.63,180
Q702,2,109,131.52,180
Q703,2,107.13,31.75,180
Q703,2,107.13,123.65,180
Q704,2,93.88,58.88,-180
Q704,2,93.88,150.77,-180
Q705,2,111.63,72.38,-180
Q705,2,111.63,164.27,-180
Q706,2,154.88,21.25,0
Q706,2,154.88,113.15,0
Q707,2,154.88,27.38,0
Q707,2,154.88,119.28,0
Q708,2,154.88,33.5,0
Q708,2,154.88,125.4,0
Q801,2,37.25,63.88,180
Q801,2,37.25,155.77,180
Q802,2,31.5,61.75,180
Q802,2,31.5,153.65,180
Q803,2,43.38,66.75,180
Q803,2,43.38,158.65,180
R101,2,151.5,79.5,180
R101,2,151.5,171.4,180
R125,2,19.38,48.25,0
R125,2,19.38,140.15,0
R126,2,25.25,41.63,180
R126,2,25.25,133.52,180
R129,2,19,46.5,0
R129,2,19,138.4,0
R572,2,153.9,82.38,180
R572,2,153.9,174.27,180
R573,2,139.38,79.63,0
R573,2,139.38,171.52,0
R574,2,145,86.13,0
R574,2,145,178.02,0
R604,2,81.13,75,0
R604,2,81.13,166.9,0
R607,2,74.75,78.75,180
R607,2,74.75,170.65,180
R608,2,60.13,79.25,0
R608,2,60.13,171.15,0
R610,2,49.25,79.75,180
R610,2,49.25,171.65,180
R611,2,56.25,75.13,0
R611,2,56.25,167.02,0
R612,2,54.25,70.38,180
R612,2,54.25,162.27,180
R613,2,54.25,72.63,0
R613,2,54.25,164.52,0
R614,2,46.38,75.5,0
R614,2,46.38,167.4,0
R615,2,55.75,52,0
R615,2,55.75,143.9,0
R620,2,79.38,51.13,0
R620,2,79.38,143.02,0
R621,2,80.13,57.13,-180
R621,2,80.13,149.02,-180
R622,2,80.13,62.13,0
R622,2,80.13,154.02,0
R626,2,71.88,35.25,0
R626,2,71.88,127.15,0
R627,2,77.5,38.38,0
R627,2,77.5,130.27,0
R628,2,81.88,35.5,0
R628,2,81.88,127.4,0
R629,2,77,24.33,0
R629,2,77,116.23,0
R630,2,68.75,24.33,0
R630,2,68.75,116.23,0
R633,2,66.75,15.5,0
R633,2,66.75,107.4,0
R634,2,66.75,5.8,180
R634,2,66.75,97.7,180
R640,2,80.38,54.88,0
R640,2,80.38,146.77,0
R641,2,80.25,65.38,0
R641,2,80.25,157.27,0
R642,2,102,23.5,180
R642,2,102,115.4,180
R643,2,103.25,19.25,0
R643,2,103.25,111.15,0
R644,2,104,15,180
R644,2,104,106.9,180
R645,2,75.75,53,-180
R645,2,75.75,144.9,-180
R646,2,75.75,51.13,0
R646,2,75.75,143.02,0
R647,2,97.75,11.88,180
R647,2,97.75,103.78,180
R701,2,126.75,51.38,-180
R701,2,126.75,143.27,-180
R702,2,105.13,56.75,180
R702,2,105.13,148.65,180
R705,2,116.13,49.13,0
R705,2,116.13,141.02,0
R706,2,117.88,57.25,0
R706,2,117.88,149.15,0
R707,2,119.63,55.5,0
R707,2,119.63,147.4,0
R708,2,111.88,62.88,-180
R708,2,111.88,154.77,-180
R709,2,113.13,65,180
R709,2,113.13,156.9,180
R711,2,114.63,44.75,180
R711,2,114.63,136.65,180
R712,2,108.13,44.75,0
R712,2,108.13,136.65,0
R713,2,100.88,36.25,0
R713,2,100.88,128.15,0
R714,2,117.5,34,0
R714,2,117.5,125.9,0
R715,2,101.75,51.38,-180
R715,2,101.75,143.27,-180
R716,2,101.75,49.75,0
R716,2,101.75,141.65,0
R717,2,99.13,60.5,-180
R717,2,99.13,152.4,-180
R718,2,94,62,0
R718,2,94,153.9,0
R719,2,93,55.63,180
R719,2,93,147.52,180
R720,2,101.75,54.63,180
R720,2,101.75,146.52,180
R721,2,116.13,71,-180
R721,2,116.13,162.9,-180
R722,2,113.13,66.5,0
R722,2,113.13,158.4,0
R723,2,116.13,69.38,0
R723,2,116.13,161.27,0
R724,2,122.63,28.38,0
R724,2,122.63,120.28,0
R725,2,129,31.25,0
R725,2,129,123.15,0
R726,2,137.75,31.25,0
R726,2,137.75,123.15,0
R727,2,139.75,34.63,0
R727,2,139.75,126.53,0
R737,2,112.88,75.38,180
R737,2,112.88,167.27,180
R738,2,117.38,72.63,0
R738,2,117.38,164.52,0
R740,2,103.75,73.88,0
R740,2,103.75,165.77,0
R743,2,112.5,68.25,180
R743,2,112.5,160.15,180
R744,2,145.88,35.75,0
R744,2,145.88,127.65,0
R745,2,147.88,14.63,180
R745,2,147.88,106.53,180
R747,2,147.88,17.38,180
R747,2,147.88,109.28,180
R748,2,147.88,20.13,0
R748,2,147.88,112.03,0
R749,2,147.88,22.88,180
R749,2,147.88,114.78,180
R750,2,147.88,26.25,0
R750,2,147.88,118.15,0
R751,2,147.88,29,180
R751,2,147.88,120.9,180
R752,2,147.88,32.38,0
