Location,top_bot,x,y,Theta
ITP37,2,123.7,58.5,0
ITP37,2,123.7,154,0
ITP37,2,272.2,154,0
ITP37,2,272.2,58.5,0
ITP38,2,69.7,6.29,0
ITP38,2,69.7,101.79,0
ITP38,2,218.2,101.79,0
ITP38,2,218.2,6.29,0
ITP39,2,74.5,53.82,0
ITP39,2,74.5,149.32,0
ITP39,2,223,149.32,0
ITP39,2,223,53.82,0
ITP40,2,51.7,19.8,0
ITP40,2,51.7,115.3,0
ITP40,2,200.2,115.3,0
ITP40,2,200.2,19.8,0
ITP41,2,54.8,28.6,0
ITP41,2,54.8,124.1,0
ITP41,2,203.3,124.1,0
ITP41,2,203.3,28.6,0
ITP42,2,109.1,65.8,270
ITP42,2,109.1,161.3,270
ITP42,2,257.6,161.3,270
ITP42,2,257.6,65.8,270
ITP43,2,45.7,9.92,0
ITP43,2,45.7,105.42,0
ITP43,2,194.2,105.42,0
ITP43,2,194.2,9.92,0
ITP44,2,41.5,6.07,0
ITP44,2,41.5,101.57,0
ITP44,2,190,101.57,0
ITP44,2,190,6.07,0
ITP45,2,79.9,69.6,0
ITP45,2,79.9,165.1,0
ITP45,2,228.4,165.1,0
ITP45,2,228.4,69.6,0
ITP46,2,67.47,33.2,0
ITP46,2,67.47,128.7,0
ITP46,2,215.97,128.7,0
ITP46,2,215.97,33.2,0
ITP47,2,42.75,21.37,0
ITP47,2,42.75,116.87,0
ITP47,2,191.25,116.87,0
ITP47,2,191.25,21.37,0
ITP48,2,50,6.05,0
ITP48,2,50,101.55,0
ITP48,2,198.5,101.55,0
ITP48,2,198.5,6.05,0
ITP49,2,77.6,70.2,0
ITP49,2,77.6,165.7,0
ITP49,2,226.1,165.7,0
ITP49,2,226.1,70.2,0
ITP50,2,30.3,63.87,0
ITP50,2,30.3,159.37,0
ITP50,2,178.8,159.37,0
ITP50,2,178.8,63.87,0
ITP51,2,37.3,9.92,0
ITP51,2,37.3,105.42,0
ITP51,2,185.8,105.42,0
ITP51,2,185.8,9.92,0
ITP52,2,26.6,79.5,0
ITP52,2,26.6,175,0
ITP52,2,175.1,175,0
ITP52,2,175.1,79.5,0
ITP53,2,21.37,75.37,0
ITP53,2,21.37,170.87,0
ITP53,2,169.87,170.87,0
ITP53,2,169.87,75.37,0
ITP54,2,85,48.5,0
ITP54,2,85,144,0
ITP54,2,233.5,144,0
ITP54,2,233.5,48.5,0
ITP55,2,82.8,69.1,0
ITP55,2,82.8,164.6,0
ITP55,2,231.3,164.6,0
ITP55,2,231.3,69.1,0
ITP56,2,28.37,48,0
ITP56,2,28.37,143.5,0
ITP56,2,176.87,143.5,0
ITP56,2,176.87,48,0
ITP57,2,36.12,83,0
ITP57,2,36.12,178.5,0
ITP57,2,184.62,178.5,0
ITP57,2,184.62,83,0
ITP58,2,37.87,80.25,0
ITP58,2,37.87,175.75,0
ITP58,2,186.37,175.75,0
ITP58,2,186.37,80.25,0
ITP59,2,32.62,80.12,0
ITP59,2,32.62,175.62,0
ITP59,2,181.12,175.62,0
ITP59,2,181.12,80.12,0
ITP60,2,63.6,42.2,0
ITP60,2,63.6,137.7,0
ITP60,2,212.1,137.7,0
ITP60,2,212.1,42.2,0
ITP61,2,61.2,35.8,0
ITP61,2,61.2,131.3,0
ITP61,2,209.7,131.3,0
ITP61,2,209.7,35.8,0
ITP62,2,61.9,64.75,0
ITP62,2,61.9,160.25,0
ITP62,2,210.4,160.25,0
ITP62,2,210.4,64.75,0
ITP63,2,59.9,64.75,0
ITP63,2,59.9,160.25,0
ITP63,2,208.4,160.25,0
ITP63,2,208.4,64.75,0
ITP64,2,22.25,64.9,0
ITP64,2,22.25,160.4,0
ITP64,2,170.75,160.4,0
ITP64,2,170.75,64.9,0
ITP65,2,88.1,58.5,0
ITP65,2,88.1,154,0
ITP65,2,236.6,154,0
ITP65,2,236.6,58.5,0
ITP66,2,31.37,43.37,0
ITP66,2,31.37,138.87,0
ITP66,2,179.87,138.87,0
ITP66,2,179.87,43.37,0
ITP67,2,86.62,9.75,0
ITP67,2,86.62,105.25,0
ITP67,2,235.12,105.25,0
ITP67,2,235.12,9.75,0
ITP68,2,86.62,6.37,0
ITP68,2,86.62,101.87,0
ITP68,2,235.12,101.87,0
ITP68,2,235.12,6.37,0
ITP69,2,58.8,70.8,0
ITP69,2,58.8,166.3,0
ITP69,2,207.3,166.3,0
ITP69,2,207.3,70.8,0
ITP70,2,12.3,53.82,180
ITP70,2,12.3,149.32,180
ITP70,2,160.8,149.32,180
ITP70,2,160.8,53.82,180
ITP71,2,18.1,48.92,180
ITP71,2,18.1,144.42,180
ITP71,2,166.6,144.42,180
ITP71,2,166.6,48.92,180
ITP72,2,14.6,56.57,180
ITP72,2,14.6,152.07,180
ITP72,2,163.1,152.07,180
ITP72,2,163.1,56.57,180
ITP73,2,12.3,60.82,180
ITP73,2,12.3,156.32,180
ITP73,2,160.8,156.32,180
ITP73,2,160.8,60.82,180
ITP74,2,34.25,19.75,0
ITP74,2,34.25,115.25,0
ITP74,2,182.75,115.25,0
ITP74,2,182.75,19.75,0
ITP75,2,12.27,67.82,0
ITP75,2,12.27,163.32,0
ITP75,2,160.77,163.32,0
ITP75,2,160.77,67.82,0
ITP76,2,85.4,68.6,0
ITP76,2,85.4,164.1,0
ITP76,2,233.9,164.1,0
ITP76,2,233.9,68.6,0
ITP77,2,89.4,68.9,0
ITP77,2,89.4,164.4,0
